Example;Description
Getting Started Simple;Gives an example of the file types processed by the text compiler.  Furthermore it shows how the macro expressions look like and how the table data is inserted into the text stream that is written to the output file.
Getting Started Simple Extended;This example extends the previous one by the use of multiple data tables, recursive macro processing, the use of multi line macros and the use of additional parameters from the command file to generate a C++ and a Visual Basic .NET data class.
Documented State Machine;"This example shows a how to describe a state machine using a matrix. The matrix is used to generate a C++ state machine class. The state machine class is designed to derive another class from it that reacts to the state changes.
The <a href=""http://www.doxygen.org"">doxygen</a> documentation tool is used together with the <a href=""http://www.graphviz.org"">graphviz dot</a> graph visualization software to create the documentation for the state machine including a graph of the states. The dot graph description that is generated causes doxygen to produce a graph of the states and transitions when it is run."
Command Line Parser;Demonstrates how to create a simple command line parser.
MPC Integration;"Shows how to integrate the text compiler into <a href=""http://www.ociweb.com/products/mpc"">MPC</a> (The Makefile, Project and Workspace Creator) files for creating projects containing text compiler command files. It consists of a batch script that creates the MPC files for the examples. Furthermore it runs the MPC workspace creator to create the example solution and projects."
Create Syntax Highlighter Language Definition;"Shows how to create a syntax highlighter definition file for the <a href=""http://www.pspad.com"">PSPad</a> editor using provided tables. This example can be used as basis for creating definition files for other editors."
The text compiler code;The text compiler is used to create code for itself.
This documentation;The documentation of the code-creation-kit is created using it's text compiler. The tables that are used as input are also used to create the code for the text compiler.
